,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,19972.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
New Jersey,152456.6,158784.3,165062.1,165044.3,169389.2,169773.4,181669.2,196142.6,206428.5,216137.7,230996.5,248031,251515.2,253359.6,252718.1,256964.6,259804.8,265388.4,271763.7,283608.1,292671,454064.1,461237.3,477827.9,503901.5,509631.5,517752.2,529815.9,536174,546357.8,555211,560823.8,573202.7,546362.2,554764.4,548479.3,560729.7,570952.4,570696.4,581414.9,587049.7,590086.7,606892.2,618691,597221.4,632463.3,650235.8,663888.5
New Hampshire,13560,14941,15818.9,16235.8,16905.2,17246.2,18344,20557.9,22435.4,23933.4,26669.4,28319.4,28277.8,27259.3,27411.3,28486.3,28831.7,30112.6,32379.2,34858.3,36935,51026.6,54954.5,56913.1,60742.5,61719.4,63474.2,66119.4,68428.1,69556.1,71424.5,71943.5,71195.6,70498.6,72950.4,73465,74082.8,75503.4,76836.2,79319.3,80736.1,81179.6,82269.5,84438.2,83152.6,89949.3,91416.1,93466.7
Mississippi,34360.2,35362.3,36714.4,36031.8,37269.9,36090.4,36857.4,39379.1,40473.6,40568.8,43228.6,44252.2,44669,44852.5,45840.8,48317.4,50440.1,53852.3,56527.7,58229.6,59874.8,88384.3,90960.1,93597.7,93957,93515.5,94561.5,98762.1,101369.5,103691.8,105879.9,107713.9,109434,105360,106711.8,106491.1,108646.5,109032.7,109299.6,109401.7,109911,110281.4,110174.8,111207.8,110322.8,115675.1,116557.1,119548.4
Massachusetts,116848,123340.1,128047.4,130464.5,133646.6,134242.9,142103.2,155335.2,164593.1,172627.6,183711.6,194619.3,195608.8,189729.7,183995.8,186430.3,187751.3,196432.4,203189.2,214298.8,226879.6,322389.9,335504.4,353837.9,382599.6,388180.8,388451.6,397069.9,407886,417075.6,426926.1,440373.8,447526.8,441307.6,462330.8,472664.3,483286.3,486991.8,496250.9,514398.7,521662.8,530129.4,549262.1,566326.8,559765,595911.8,608052.9,615504.5
Maine,17882.1,18410.9,18901.5,19251.7,19384.4,19610.3,20470.5,21917.3,22858,23880.4,25426.4,27344.2,27882.4,27644.4,26835.5,27175.6,27337.3,28058.4,28768.6,29627,30774.7,46325,48138.5,50620.3,52958.5,54066.2,55406.5,56882.4,58934.8,59589.7,59986,60032.6,59845.1,58771.8,59958.5,59429.7,59181.7,59013.9,59589.8,60563,62037.1,63000.6,64806.3,66758.4,67410.9,71142.4,73036.2,75195.4
Louisiana,92827.1,97059.7,95812.3,98825.5,101476.8,97625.6,96515,102250.7,104077.7,103870.4,104284.2,108141.7,108116.7,110272.1,110054.6,102935.3,105295.6,114155.9,120333.3,121488.9,126003.3,202386.5,209356.6,213475.3,206556.1,210534.7,214856.1,223576,234620.8,249560.9,247139.7,234216.4,237061.6,241868.8,253466.9,241235.9,242416.8,236482.3,243042.9,239584.1,235554.2,239830.7,245220.3,246674.4,228951.3,237839.2,236854.1,248615.5
Georgia,91572.4,97101.4,101778.8,102952.1,107313.7,108941.5,116030.2,127322.6,136869.3,144853.2,152162.8,158945.8,162167,165062.2,167209.2,176730.9,184788.5,198125,209291.7,223306.9,235200.1,351183.9,377705.9,404465.2,417713.5,422731.6,427329.7,439074.6,461245.4,480838.3,487524.9,492238.7,481860.3,464016.8,471588.2,481215.4,489027.3,499900.2,517511.9,540108.5,561718.3,583543.3,600934.7,620744.9,604745.9,643013.8,665678.1,678201.2
Connecticut,70360.8,74245.9,77143.6,78644.1,80480.1,82537.9,86662.9,94619,99671.2,104257.6,112210.4,119046.6,120606.9,121175.6,118215.9,119831.9,118314.6,121001.5,128538.1,131912.8,140279.6,205965.2,212255,218860,233874.2,236338.1,234307.3,236719.1,252680.8,258203.7,269478.6,278485.4,277793.2,265530.8,266773.4,261555.8,263649.9,258911,260605.8,268869.8,268196.2,273875.1,274582.8,275225.4,260765.2,269838.7,278975.9,286628.4
Alabama,59478.4,63298,64987.6,64582.3,65771,64134.1,67305,70481.4,73801.3,74558,78659.1,82507.5,82407.7,83766.4,86115.5,89813.9,91167.6,94803.1,98023.9,101379.3,104805.2,154700,160396.4,166531.8,168695.3,168448.3,172430.4,178040,189913.7,197246.5,199923.9,202025.5,200967.4,194192.1,199455,201372.8,203675.5,206962.9,206070,208950.3,212862.8,216615.5,220808.8,225272.8,222288.8,233726.6,238556.5,245354.7
Florida,154583.7,167311.5,178161,186914.3,195993,200771.9,212494.5,230406.9,242869.9,253650.7,270018.4,286785.8,297214.7,304324.4,305979.1,317416.4,329410.2,345550.3,358418.8,376851.4,393074.5,603988.6,634032.3,664152,693837.3,714638,746252.8,781834.2,833946.8,883164.5,909298.9,922288.3,891766.9,840480.6,851956.4,849395.3,857861.3,880183.5,905648.5,945929,978989.7,1014866.9,1050433.8,1084913.9,1069758.8,1170526.3,1239883.6,1292787.6
